abfragezeit,richtung,farbe,zug,soll,ist,verspaetung_min,auslastung
2026-07-22 14:26,Nach Sylt,rot,AS 1436,14:05,14:25,20,0
2026-07-22 14:26,Nach Sylt,rot,AS 1438,14:35,14:55,20,0
2026-07-22 14:26,Nach Sylt,rot,AS 1442,15:35,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1448,17:05,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1452,18:05,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1454,18:35,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1458,19:35,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1464,21:05,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1478,04:05,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1400,05:05,,,0
2026-07-22 14:26,Nach Sylt,rot,AS 1406,06:35,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1441,14:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1445,15:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1449,16:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1455,18:25,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1459,19:25,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1461,19:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1465,20:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1401,04:55,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1403,05:25,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1407,06:25,,,0
2026-07-22 14:26,Nach Niebuell,rot,AS 1409,06:55,,,0
